Naam,Adres,Latitude,Longitude,Link,Street,Postcode,City
"Najim, M.D.","Gezondheidscentrum Lelystaete, huisartsenpraktijk Najim, Lelystad",52.5158983,5.4774233,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-najim-m-d-313238,Meentweg,8224 BP,Lelystad
"Kraag, N.P.R.","Huisartsenpraktijk Kraag, Hoogvliet",51.8640674,4.3681737,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kraag-n-p-r-163508,Stelle,3191 KE,Hoogvliet
"Konijnenberg, S.E.M.","Ortus.nu Kliniek voor Orthopedie en Echografie, locatie Veghel, Veghel",51.6167399,5.5259196,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-konijnenberg-s-e-m-121471,N.C.B.-laan,5462 GB,Veghel
"Homa, M.A.","Huisartsen De Bolzen, Veldhoven",51.4266256,5.4156384,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-homa-m-a-271717,Kruisstraat,5502 JA,Veldhoven
"Laschet, R.J.M.","Huisartsen Kop van Zuid, Rotterdam",51.9097932,4.5024632,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-laschet-r-j-m-117993,Lodewijk Pincoffsweg,3071 AV,Rotterdam
"Hidalgo, P.H.","Huisartsenpraktijk Nieuwendam, Zaandam",52.4470475,4.8062058,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hidalgo-p-h-114121,Nieuwendamstraat,1507 JE,Zaandam
"Voerknecht, M.","Medisch Centrum Bussum-Zuid, Bussum",52.2663018,5.1788773,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-voerknecht-m-251113,Piet Heinlaan,1403 TZ,Bussum
"Lofvers, P.","Huisartsenpraktijk Lofvers, Steenderen",52.0634013,6.1876876,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-lofvers-p-263946,Burgemeester Smitstraat,7221 BH,Steenderen
"Crop, S.R.","Huisartsenpraktijk Crop, Leidschendam",52.0843699,4.3950452,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-crop-s-r-282373,Koningin Julianaweg,2264 BD,Leidschendam
"Amri, R. El","Huisartspraktijk Korvel, Tilburg",51.5486156,5.0673141,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-amri-r-el-287766,Korvelplein,5025 JX,Tilburg
"Moghaddam, F.","GOED Ridderkerk, Huisartsenpraktijk F. Moghaddam, Ridderkerk",51.8663152,4.6027028,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-moghaddam-f-253542,Jan Luykenstraat,2985 BV,Ridderkerk
"Fickweiler, F.","Huisartsen Assen-West, Assen",53.0008834,6.5155763,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-fickweiler-f-332095,Oostergracht,9408 MR,Assen
"Farsi, S.","Huisartspraktijk S. Farsi, Voorschoten",52.1443534,4.4618933,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-farsi-s-250691,Jan Evertsenlaan,2253 XG,Voorschoten
"Jong, W. de","Huisartsenpraktijk Maasdam, Maasdam",51.787652,4.5533218,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-jong-w-de-269469,Raadhuisstraat,3299 AP,Maasdam
"Steeg, J.Th.H.M. van de","Huisartsenpraktijk Medi-Mere Buiten, Almere",52.3888251,5.2743963,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-steeg-j-th-h-m-van-de-115111,Haasweg,1338 AS,Almere
"Kiers, J.P.","Huisartsen Assen-West, Assen",53.0008834,6.5155763,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kiers-j-p-332094,Oostergracht,9408 MR,Assen
"Olieslagers, M.P.A.C.","Huisartspraktijk Olieslagers, Rockanje",51.8742606,4.0680428,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-olieslagers-m-p-a-c-118459,Groene Kruisstraat,3235 AJ,Rockanje
"Roodenburg, F.","Huisartsenpraktijk Roodenburg Heemstede, Heemstede",52.3562498,4.6254987,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-roodenburg-f-156632,Heemsteedse Dreef,2102 KR,Heemstede
"Gucht, M. van","Huisartsenpraktijk Hellevoetsluis-West, Hellevoetsluis",51.8338546,4.1390103,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-gucht-m-van-263660,Herman Heijermansstraat,3221 VK,Hellevoetsluis
"Luijten, P.L.J.M.","Huisartsenpraktijk Maasbracht, Maasbracht",51.1420914,5.8915589,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-luijten-p-l-j-m-271741,Echterstraat,6051 GA,Brachterbeek
"Barek, Y.","Huisartsenpraktijk Barek, Zaltbommel",51.8122522,5.2450284,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-barek-y-226387,Heksenwal,5301 ER,Zaltbommel
